coin_name,coin_symbol,price_usd,market_cap_usd,volume_24h,price_change_24h_pct,timestamp
bitcoin,btc,70732,1.41103E+12,45929437541,1.93078,17:31.7
ethereum,eth,2083.92,2.50919E+11,20922509417,0.50321,17:31.7
tether,usdt,0.999296,1.84448E+11,71138427609,-0.00197,17:31.7
ripple,xrp,1.44,87370389890,2950629104,1.36402,17:31.7
binancecoin,bnb,636.41,86634101974,1116030970,-0.64661,17:31.7
usd-coin,usdc,0.999795,72881378799,4387556010,-0.00543,17:31.7
solana,sol,86.37,48918101767,3699013947,-0.71659,17:31.7
tron,trx,0.278402,26369144706,540512051,0.65887,17:31.7
dogecoin,doge,0.095624,16079939883,947972029,-1.08093,17:31.7
figure-heloc,figr_heloc,1.033,15500414694,4960302,0,17:31.7
whitebit,wbt,53.71,11442285027,42164701,1.67443,17:31.7
bitcoin-cash,bch,524.5,10467782202,315629254,0.9922,17:31.7
cardano,ada,0.271168,9967716450,730330967,0.31465,17:31.7
usds,usds,0.998921,9524390152,22741605,-0.06275,17:31.7
hyperliquid,hype,32.64,7763596416,324840766,4.99654,17:31.7
leo-token,leo,8.19,7545444600,1152899,4.52274,17:31.7
ethena-usde,usde,0.998539,6426897870,54410394,-0.00435,17:31.7
canton-network,cc,0.165442,6228942649,14782783,-1.75345,17:31.7
chainlink,link,8.79,6214527975,329412252,-0.39822,17:31.7
monero,xmr,337.61,6194587782,96142919,3.42929,17:31.7
